id,persona_id,persona,persona_group,task_id,task,required_authority_classes,required_source_classes,candidate_source_ids,acceptable_evidence,currency_tolerance,likely_failure_modes,definition_of_success,professional_escalation
P01-T19,P01,Barrister,legal-practice,T19,Identify remedies and enforcement outcomes,binding-authority | procedural-material | delegated-administrative-rules | persuasive-authority,SC01 | SC02 | SC05 | SC09 | SC13 | SC15 | SC16 | SC17 | SC21 | SC23,SRC001 | SRC002 | SRC007 | SRC047 | SRC003 | SRC004 | SRC009 | SRC010 | SRC011 | SRC068 | SRC069 | SRC018,"Operative remedy provisions, procedure, official decisions/notices and appeal status.",Live for current remedies and routes. Qualified human review is mandatory before consequential use.,past outcome treated as guaranteed | appeal route missed | regulator summary substituted for notice,"Remedy conditions, forum, deadline, discretion and evidence are explicit.",True
P01-T20,P01,Barrister,legal-practice,T20,Verify citation and identity,binding-authority | history | legal-service-information,SC01 | SC02 | SC05 | SC09 | SC13 | SC15 | SC16 | SC12 | SC14 | SC30,SRC001 | SRC002 | SRC007 | SRC047 | SRC003 | SRC004 | SRC009 | SRC010 | SRC011 | SRC068 | SRC069 | SRC018,"Source-native identifiers, exact/qualified mappings, issuer and temporal identity.",Identity mapping versioned; live where institutions/citations evolve. Qualified human review is mandatory before consequential use.,fuzzy match asserted as sameAs | parallel citations collapsed | wrong version joined,"Identity decision has mapping type, confidence, evidence and unresolved conflicts.",True
P02-T01,P02,Pupil barrister,legal-practice,T01,Locate controlling authority,binding-authority,SC01 | SC09 | SC13 | SC15 | SC10,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC068 | SRC069 | SRC018 | SRC019 | SRC020 | SRC012,Official work/case/rule identity plus selected passage and court/institutional competence.,Live verification at answer time for current advice; historical date fixed for retrospective research.,topical but non-controlling source | later appeal or higher authority missed | guidance presented as law,"Controlling authority is identified, hierarchy and jurisdiction are stated, and every material proposition has a pinpoint.",False
P02-T02,P02,Pupil barrister,legal-practice,T02,Determine whether law is in force,binding-authority,SC01 | SC09 | SC13 | SC15 | SC04 | SC05,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC068 | SRC069 | SRC018 | SRC019 | SRC020 | SRC004,"Versioned legislation, commencement/effect records, extent and amendments with live official verification.",Zero tolerance for stale current-law answers.,latest text confused with in-force text | unapplied effect ignored | commencement or savings omitted,"Answer states the relevant version, commencement, extent, amendments, savings and uncertainty.",True
P02-T05,P02,Pupil barrister,legal-practice,T05,"Trace amendments, commencement and repeal",binding-authority,SC01 | SC09 | SC13 | SC15 | SC05,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC068 | SRC069 | SRC018 | SRC019 | SRC020 | SRC003,"Official effect feeds, amending instruments/provisions, commencement orders and selected passages.",Live verification at answer time.,absence of recorded effect treated as no effect | prospective effect treated as operative | repeal savings omitted,Bidirectional change graph and current application status are evidenced.,False
P02-T06,P02,Pupil barrister,legal-practice,T06,Identify judicial interpretation and treatment,binding-authority | persuasive-authority,SC01 | SC09 | SC13 | SC15 | SC10,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC068 | SRC069 | SRC018 | SRC019 | SRC020 | SRC012,"Official judgments, cited passage, court hierarchy, later treatment and appeal status.",Live citator/treatment check before reliance.,citation occurrence treated as approval | headnote substituted for judgment | later reversal missed,Treatment verbs are passage-evidenced and hierarchy/date qualified.,False
P02-T07,P02,Pupil barrister,legal-practice,T07,Construct a chronology,binding-authority | history | official-guidance,SC01 | SC09 | SC13 | SC15 | SC24 | SC04,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC068 | SRC069 | SRC018 | SRC019 | SRC020 | SRC017,"Typed dated events with source identity, event date and publication/retrieval date separated.",Depends on task; current chronologies checked live.,publication date confused with effective date | events silently omitted | time zones/version ambiguity,"A typed, source-backed chronology exposes gaps and conflicting dates.",False
P02-T10,P02,Pupil barrister,legal-practice,T10,"Find procedural steps, deadlines, forms and fees",procedural-material | binding-authority | legal-service-information,SC01 | SC09 | SC13 | SC15 | SC16 | SC17,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC068 | SRC069 | SRC018 | SRC019 | SRC020 | SRC023,Current rule/order/practice direction plus live form/fee/service verification.,Same-day/live verification before action.,outdated form/fee | wrong forum | guidance deadline not checked against rule,Actionable steps cite the operative procedural passage and current service artefacts.,True
P02-T11,P02,Pupil barrister,legal-practice,T11,"Prepare litigation, advice, policy, compliance or enforcement work",binding-authority | persuasive-authority | official-guidance,SC01 | SC09 | SC13 | SC15 | SC20,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC068 | SRC069 | SRC018 | SRC019 | SRC020 | SRC031,"Authority-ranked source set, selected passages, adverse material, currency and assumptions.",Live before issue/decision.,confirmation bias | material adverse source omitted | official guidance elevated above law,"Deliverable is reproducible, balanced and professionally reviewable.",True
P02-T17,P02,Pupil barrister,legal-practice,T17,Audit an AI-generated legal answer,binding-authority | persuasive-authority | procedural-material,SC01 | SC09 | SC13 | SC15,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC068 | SRC069 | SRC018 | SRC019 | SRC020,"Proposition-to-citation ledger, source hashes, version context and coverage declaration.",Re-verify all material current-law propositions.,invented citation | citation does not support proposition | hidden retrieval gap,"Every material proposition is supported, classified and risk-rated; hard failures cap the answer.",True
P02-T20,P02,Pupil barrister,legal-practice,T20,Verify citation and identity,binding-authority | history | legal-service-information,SC01 | SC09 | SC13 | SC15 | SC12 | SC14 | SC30,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC068 | SRC069 | SRC018 | SRC019 | SRC020 | SRC013,"Source-native identifiers, exact/qualified mappings, issuer and temporal identity.",Identity mapping versioned; live where institutions/citations evolve.,fuzzy match asserted as sameAs | parallel citations collapsed | wrong version joined,"Identity decision has mapping type, confidence, evidence and unresolved conflicts.",False
P03-T07,P03,Barristers’ clerk,legal-practice,T07,Construct a chronology,binding-authority | history | official-guidance,SC14 | SC17 | SC31 | SC24 | SC04,SRC009 | SRC011 | SRC012 | SRC023 | SRC024 | SRC026 | SRC025 | SRC017 | SRC044 | SRC045 | SRC002 | SRC004,"Typed dated events with source identity, event date and publication/retrieval date separated.",Depends on task; current chronologies checked live.,publication date confused with effective date | events silently omitted | time zones/version ambiguity,"A typed, source-backed chronology exposes gaps and conflicting dates.",False
P03-T10,P03,Barristers’ clerk,legal-practice,T10,"Find procedural steps, deadlines, forms and fees",procedural-material | binding-authority | legal-service-information,SC14 | SC17 | SC31 | SC15 | SC16,SRC009 | SRC011 | SRC012 | SRC023 | SRC024 | SRC026 | SRC025 | SRC018 | SRC019 | SRC020,Current rule/order/practice direction plus live form/fee/service verification.,Same-day/live verification before action.,outdated form/fee | wrong forum | guidance deadline not checked against rule,Actionable steps cite the operative procedural passage and current service artefacts.,True
P03-T13,P03,Barristers’ clerk,legal-practice,T13,Monitor legal change,binding-authority | procedural-material | delegated-administrative-rules | official-guidance,SC14 | SC17 | SC31 | SC04 | SC21 | SC24,SRC009 | SRC011 | SRC012 | SRC023 | SRC024 | SRC026 | SRC025 | SRC002 | SRC004 | SRC007 | SRC032 | SRC035,"Official feeds/logs, hashes, version differences and impact classification.",Source-specific service-level objective; critical sources daily or event-driven.,silent source deletion | publication event missed | cosmetic change escalated as legal change,"Change event is detected, typed, evidenced, impact-assessed and reviewable.",False
P03-T18,P03,Barristers’ clerk,legal-practice,T18,Identify institutional competence,binding-authority | legal-service-information,SC14 | SC17 | SC31 | SC30,SRC009 | SRC011 | SRC012 | SRC023 | SRC024 | SRC026 | SRC025 | SRC067 | SRC072,"Founding/empowering provisions, delegation, jurisdiction and temporal organisation identity.",Live for current bodies.,organisation page treated as power source | successor/predecessor confused | delegation missing,"Competence, delegation, review route and date are sourced.",False
P03-T20,P03,Barristers’ clerk,legal-practice,T20,Verify citation and identity,binding-authority | history | legal-service-information,SC14 | SC17 | SC31 | SC12 | SC30,SRC009 | SRC011 | SRC012 | SRC023 | SRC024 | SRC026 | SRC025 | SRC013 | SRC067 | SRC072,"Source-native identifiers, exact/qualified mappings, issuer and temporal identity.",Identity mapping versioned; live where institutions/citations evolve.,fuzzy match asserted as sameAs | parallel citations collapsed | wrong version joined,"Identity decision has mapping type, confidence, evidence and unresolved conflicts.",False
P04-T01,P04,Solicitor,legal-practice,T01,Locate controlling authority,binding-authority,SC01 | SC02 | SC09 | SC15 | SC20 | SC10,SRC001 | SRC002 | SRC007 | SRC047 | SRC009 | SRC010 | SRC011 | SRC018 | SRC019 | SRC020 | SRC031 | SRC033,Official work/case/rule identity plus selected passage and court/institutional competence.,Live verification at answer time for current advice; historical date fixed for retrospective research. Qualified human review is mandatory before consequential use.,topical but non-controlling source | later appeal or higher authority missed | guidance presented as law,"Controlling authority is identified, hierarchy and jurisdiction are stated, and every material proposition has a pinpoint.",True
P04-T02,P04,Solicitor,legal-practice,T02,Determine whether law is in force,binding-authority,SC01 | SC02 | SC09 | SC15 | SC20 | SC04 | SC05,SRC001 | SRC002 | SRC007 | SRC047 | SRC009 | SRC010 | SRC011 | SRC018 | SRC019 | SRC020 | SRC031 | SRC033,"Versioned legislation, commencement/effect records, extent and amendments with live official verification.",Zero tolerance for stale current-law answers. Qualified human review is mandatory before consequential use.,latest text confused with in-force text | unapplied effect ignored | commencement or savings omitted,"Answer states the relevant version, commencement, extent, amendments, savings and uncertainty.",True
P04-T03,P04,Solicitor,legal-practice,T03,Point-in-time and historical research,binding-authority | history,SC01 | SC02 | SC09 | SC15 | SC20 | SC04 | SC35,SRC001 | SRC002 | SRC007 | SRC047 | SRC009 | SRC010 | SRC011 | SRC018 | SRC019 | SRC020 | SRC031 | SRC033,"Dated expressions, amendment chronology, archived official material and source hashes.",Exact historical cut-off; later material segregated. Qualified human review is mandatory before consequential use.,anachronism | current consolidation substituted for historical text | archive date mistaken for legal date,A reproducible dated state and change chronology are supplied.,True
P04-T04,P04,Solicitor,legal-practice,T04,Territorial extent and jurisdiction,binding-authority | legal-service-information,SC01 | SC02 | SC09 | SC15 | SC20 | SC14 | SC30,SRC001 | SRC002 | SRC007 | SRC047 | SRC009 | SRC010 | SRC011 | SRC018 | SRC019 | SRC020 | SRC031 | SRC033,"Extent metadata, devolution/competence provisions, court or regulator jurisdiction sources.",Live for current competence; exact for historical jurisdiction. Qualified human review is mandatory before consequential use.,UK-wide assumption | extent confused with application | court/body identity conflated,"Territory, legal system, institutional competence and exceptions are explicit.",True
P04-T05,P04,Solicitor,legal-practice,T05,"Trace amendments, commencement and repeal",binding-authority,SC01 | SC02 | SC09 | SC15 | SC20 | SC05,SRC001 | SRC002 | SRC007 | SRC047 | SRC009 | SRC010 | SRC011 | SRC018 | SRC019 | SRC020 | SRC031 | SRC033,"Official effect feeds, amending instruments/provisions, commencement orders and selected passages.",Live verification at answer time. Qualified human review is mandatory before consequential use.,absence of recorded effect treated as no effect | prospective effect treated as operative | repeal savings omitted,Bidirectional change graph and current application status are evidenced.,True
P04-T06,P04,Solicitor,legal-practice,T06,Identify judicial interpretation and treatment,binding-authority | persuasive-authority,SC01 | SC02 | SC09 | SC15 | SC20 | SC10 | SC13,SRC001 | SRC002 | SRC007 | SRC047 | SRC009 | SRC010 | SRC011 | SRC018 | SRC019 | SRC020 | SRC031 | SRC033,"Official judgments, cited passage, court hierarchy, later treatment and appeal status.",Live citator/treatment check before reliance. Qualified human review is mandatory before consequential use.,citation occurrence treated as approval | headnote substituted for judgment | later reversal missed,Treatment verbs are passage-evidenced and hierarchy/date qualified.,True
P04-T09,P04,Solicitor,legal-practice,T09,Apply rules to facts,binding-authority | persuasive-authority,SC01 | SC02 | SC09 | SC15 | SC20,SRC001 | SRC002 | SRC007 | SRC047 | SRC009 | SRC010 | SRC011 | SRC018 | SRC019 | SRC020 | SRC031 | SRC033,"Controlling text/cases, issue-element mapping, stated factual assumptions and uncertainty.",Live for current advice; professional review required. Qualified human review is mandatory before consequential use.,facts invented | legal conclusion overconfident | discretion treated as rule,"Elements, exceptions, burdens and missing facts are mapped, with escalation.",True
P04-T10,P04,Solicitor,legal-practice,T10,"Find procedural steps, deadlines, forms and fees",procedural-material | binding-authority | legal-service-information,SC01 | SC02 | SC09 | SC15 | SC20 | SC16 | SC17,SRC001 | SRC002 | SRC007 | SRC047 | SRC009 | SRC010 | SRC011 | SRC018 | SRC019 | SRC020 | SRC031 | SRC033,Current rule/order/practice direction plus live form/fee/service verification.,Same-day/live verification before action. Qualified human review is mandatory before consequential use.,outdated form/fee | wrong forum | guidance deadline not checked against rule,Actionable steps cite the operative procedural passage and current service artefacts.,True
P04-T11,P04,Solicitor,legal-practice,T11,"Prepare litigation, advice, policy, compliance or enforcement work",binding-authority | persuasive-authority | official-guidance,SC01 | SC02 | SC09 | SC15 | SC20,SRC001 | SRC002 | SRC007 | SRC047 | SRC009 | SRC010 | SRC011 | SRC018 | SRC019 | SRC020 | SRC031 | SRC033,"Authority-ranked source set, selected passages, adverse material, currency and assumptions.",Live before issue/decision. Qualified human review is mandatory before consequential use.,confirmation bias | material adverse source omitted | official guidance elevated above law,"Deliverable is reproducible, balanced and professionally reviewable.",True
P04-T13,P04,Solicitor,legal-practice,T13,Monitor legal change,binding-authority | procedural-material | delegated-administrative-rules | official-guidance,SC01 | SC02 | SC09 | SC15 | SC20 | SC04 | SC21 | SC24,SRC001 | SRC002 | SRC007 | SRC047 | SRC009 | SRC010 | SRC011 | SRC018 | SRC019 | SRC020 | SRC031 | SRC033,"Official feeds/logs, hashes, version differences and impact classification.",Source-specific service-level objective; critical sources daily or event-driven. Qualified human review is mandatory before consequential use.,silent source deletion | publication event missed | cosmetic change escalated as legal change,"Change event is detected, typed, evidenced, impact-assessed and reviewable.",True
P04-T17,P04,Solicitor,legal-practice,T17,Audit an AI-generated legal answer,binding-authority | persuasive-authority | procedural-material,SC01 | SC02 | SC09 | SC15 | SC20,SRC001 | SRC002 | SRC007 | SRC047 | SRC009 | SRC010 | SRC011 | SRC018 | SRC019 | SRC020 | SRC031 | SRC033,"Proposition-to-citation ledger, source hashes, version context and coverage declaration.",Re-verify all material current-law propositions. Qualified human review is mandatory before consequential use.,invented citation | citation does not support proposition | hidden retrieval gap,"Every material proposition is supported, classified and risk-rated; hard failures cap the answer.",True
P04-T19,P04,Solicitor,legal-practice,T19,Identify remedies and enforcement outcomes,binding-authority | procedural-material | delegated-administrative-rules | persuasive-authority,SC01 | SC02 | SC09 | SC15 | SC20 | SC17 | SC21 | SC23,SRC001 | SRC002 | SRC007 | SRC047 | SRC009 | SRC010 | SRC011 | SRC018 | SRC019 | SRC020 | SRC031 | SRC033,"Operative remedy provisions, procedure, official decisions/notices and appeal status.",Live for current remedies and routes. Qualified human review is mandatory before consequential use.,past outcome treated as guaranteed | appeal route missed | regulator summary substituted for notice,"Remedy conditions, forum, deadline, discretion and evidence are explicit.",True
P04-T20,P04,Solicitor,legal-practice,T20,Verify citation and identity,binding-authority | history | legal-service-information,SC01 | SC02 | SC09 | SC15 | SC20 | SC12 | SC14 | SC30,SRC001 | SRC002 | SRC007 | SRC047 | SRC009 | SRC010 | SRC011 | SRC018 | SRC019 | SRC020 | SRC031 | SRC033,"Source-native identifiers, exact/qualified mappings, issuer and temporal identity.",Identity mapping versioned; live where institutions/citations evolve. Qualified human review is mandatory before consequential use.,fuzzy match asserted as sameAs | parallel citations collapsed | wrong version joined,"Identity decision has mapping type, confidence, evidence and unresolved conflicts.",True
P05-T01,P05,Trainee solicitor,legal-practice,T01,Locate controlling authority,binding-authority,SC01 | SC09 | SC15 | SC10,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC018 | SRC019 | SRC020 | SRC012,Official work/case/rule identity plus selected passage and court/institutional competence.,Live verification at answer time for current advice; historical date fixed for retrospective research.,topical but non-controlling source | later appeal or higher authority missed | guidance presented as law,"Controlling authority is identified, hierarchy and jurisdiction are stated, and every material proposition has a pinpoint.",False
P05-T02,P05,Trainee solicitor,legal-practice,T02,Determine whether law is in force,binding-authority,SC01 | SC09 | SC15 | SC04 | SC05,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC018 | SRC019 | SRC020 | SRC004 | SRC003,"Versioned legislation, commencement/effect records, extent and amendments with live official verification.",Zero tolerance for stale current-law answers.,latest text confused with in-force text | unapplied effect ignored | commencement or savings omitted,"Answer states the relevant version, commencement, extent, amendments, savings and uncertainty.",True
P05-T05,P05,Trainee solicitor,legal-practice,T05,"Trace amendments, commencement and repeal",binding-authority,SC01 | SC09 | SC15 | SC05,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC018 | SRC019 | SRC020 | SRC003 | SRC004,"Official effect feeds, amending instruments/provisions, commencement orders and selected passages.",Live verification at answer time.,absence of recorded effect treated as no effect | prospective effect treated as operative | repeal savings omitted,Bidirectional change graph and current application status are evidenced.,False
P05-T06,P05,Trainee solicitor,legal-practice,T06,Identify judicial interpretation and treatment,binding-authority | persuasive-authority,SC01 | SC09 | SC15 | SC10 | SC13,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC018 | SRC019 | SRC020 | SRC012 | SRC068 | SRC069,"Official judgments, cited passage, court hierarchy, later treatment and appeal status.",Live citator/treatment check before reliance.,citation occurrence treated as approval | headnote substituted for judgment | later reversal missed,Treatment verbs are passage-evidenced and hierarchy/date qualified.,False
P05-T07,P05,Trainee solicitor,legal-practice,T07,Construct a chronology,binding-authority | history | official-guidance,SC01 | SC09 | SC15 | SC24 | SC04,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC018 | SRC019 | SRC020 | SRC017 | SRC044 | SRC045,"Typed dated events with source identity, event date and publication/retrieval date separated.",Depends on task; current chronologies checked live.,publication date confused with effective date | events silently omitted | time zones/version ambiguity,"A typed, source-backed chronology exposes gaps and conflicting dates.",False
P05-T10,P05,Trainee solicitor,legal-practice,T10,"Find procedural steps, deadlines, forms and fees",procedural-material | binding-authority | legal-service-information,SC01 | SC09 | SC15 | SC16 | SC17,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC018 | SRC019 | SRC020 | SRC023 | SRC024 | SRC026,Current rule/order/practice direction plus live form/fee/service verification.,Same-day/live verification before action.,outdated form/fee | wrong forum | guidance deadline not checked against rule,Actionable steps cite the operative procedural passage and current service artefacts.,True
P05-T11,P05,Trainee solicitor,legal-practice,T11,"Prepare litigation, advice, policy, compliance or enforcement work",binding-authority | persuasive-authority | official-guidance,SC01 | SC09 | SC15 | SC20,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC018 | SRC019 | SRC020 | SRC031 | SRC033 | SRC034,"Authority-ranked source set, selected passages, adverse material, currency and assumptions.",Live before issue/decision.,confirmation bias | material adverse source omitted | official guidance elevated above law,"Deliverable is reproducible, balanced and professionally reviewable.",True
P05-T17,P05,Trainee solicitor,legal-practice,T17,Audit an AI-generated legal answer,binding-authority | persuasive-authority | procedural-material,SC01 | SC09 | SC15,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC018 | SRC019 | SRC020,"Proposition-to-citation ledger, source hashes, version context and coverage declaration.",Re-verify all material current-law propositions.,invented citation | citation does not support proposition | hidden retrieval gap,"Every material proposition is supported, classified and risk-rated; hard failures cap the answer.",True
P05-T20,P05,Trainee solicitor,legal-practice,T20,Verify citation and identity,binding-authority | history | legal-service-information,SC01 | SC09 | SC15 | SC12 | SC14 | SC30,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC018 | SRC019 | SRC020 | SRC013 | SRC012 | SRC067,"Source-native identifiers, exact/qualified mappings, issuer and temporal identity.",Identity mapping versioned; live where institutions/citations evolve.,fuzzy match asserted as sameAs | parallel citations collapsed | wrong version joined,"Identity decision has mapping type, confidence, evidence and unresolved conflicts.",False
P06-T01,P06,Paralegal,legal-practice,T01,Locate controlling authority,binding-authority,SC01 | SC09 | SC17 | SC10,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC023 | SRC024 | SRC026 | SRC012,Official work/case/rule identity plus selected passage and court/institutional competence.,Live verification at answer time for current advice; historical date fixed for retrospective research.,topical but non-controlling source | later appeal or higher authority missed | guidance presented as law,"Controlling authority is identified, hierarchy and jurisdiction are stated, and every material proposition has a pinpoint.",False
P06-T02,P06,Paralegal,legal-practice,T02,Determine whether law is in force,binding-authority,SC01 | SC09 | SC17 | SC04 | SC05,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC023 | SRC024 | SRC026 | SRC004 | SRC003,"Versioned legislation, commencement/effect records, extent and amendments with live official verification.",Zero tolerance for stale current-law answers.,latest text confused with in-force text | unapplied effect ignored | commencement or savings omitted,"Answer states the relevant version, commencement, extent, amendments, savings and uncertainty.",True
P06-T07,P06,Paralegal,legal-practice,T07,Construct a chronology,binding-authority | history | official-guidance,SC01 | SC09 | SC17 | SC24 | SC04,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC023 | SRC024 | SRC026 | SRC017 | SRC044 | SRC045,"Typed dated events with source identity, event date and publication/retrieval date separated.",Depends on task; current chronologies checked live.,publication date confused with effective date | events silently omitted | time zones/version ambiguity,"A typed, source-backed chronology exposes gaps and conflicting dates.",False
P06-T10,P06,Paralegal,legal-practice,T10,"Find procedural steps, deadlines, forms and fees",procedural-material | binding-authority | legal-service-information,SC01 | SC09 | SC17 | SC15 | SC16,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC023 | SRC024 | SRC026 | SRC018 | SRC019 | SRC020,Current rule/order/practice direction plus live form/fee/service verification.,Same-day/live verification before action.,outdated form/fee | wrong forum | guidance deadline not checked against rule,Actionable steps cite the operative procedural passage and current service artefacts.,True
