id,title,owning_institution,jurisdictions,authority_classes,source_classes,legal_force_or_role,corpus_boundary,coverage_status,access_statuses,access_test_date,recommended_ingestion_method,known_omissions_or_inconsistencies,primary_url
SRC011,Find Case Law Supreme Court collection,The National Archives / UK Supreme Court,United Kingdom,binding-authority,SC09 | SC12 | SC14,"Final appellate authority subject to jurisdictional limits; substantive judgment is authoritative, press summary is not.",All substantive UKSC judgments since establishment according to the official court coverage page.,complete against official enumerated source,verified working,2026-07-25,Use as the first court-level denominator pilot and reconciliation test against UKSC’s own site.,House of Lords decisions before 2009 are separate archival sources; appeal/citator relationships still need enrichment.,https://caselaw.nationalarchives.gov.uk/courts-and-tribunals/uksc
SRC012,Find Case Law lower-court and tribunal collections,The National Archives / HMCTS / judiciary,England and Wales,binding-authority | persuasive-authority,SC09 | SC10 | SC14,"Authority varies by court/tribunal; decisions may be binding, persuasive or fact-specific.","Court-specific collections including appellate/high courts, upper tribunals and selected lower courts/first-tier tribunals.",partially complete,verified working,2026-07-25,"One source-family adapter, but separate coverage-ledger rows and acceptance thresholds per court/chamber.",Crown/County/Family/first-tier coverage can be highly selective; verbal judgments may never be transcribed.,https://caselaw.nationalarchives.gov.uk/courts-and-tribunals
SRC013,Scottish Courts and Tribunals Service judgments,Scottish Courts and Tribunals Service,Scotland,binding-authority | persuasive-authority,SC09 | SC10 | SC12 | SC14,Official Scottish judgments; authority depends on court and subject.,"Published judgments/opinions selected for publication, with searchable material mainly from 1999 and separate feeds.",partially complete,verified working | verified working,2026-07-25,Federate as a distinct jurisdictional pack; do not merge records solely by party names.,Not all decisions are published; coverage and identifiers differ from Find Case Law; no unified UK denominator.,https://www.scotcourts.gov.uk/search-judgments/
SRC014,Judiciary NI judgments,Judiciary NI / Courts and Tribunals Service,Northern Ireland,binding-authority | persuasive-authority,SC09 | SC10 | SC12 | SC14,Official Northern Ireland judgments; force depends on court and issue.,Published judgments and decisions made available by the Northern Ireland judiciary.,partially complete,verified working,2026-07-25,Metadata-first adapter plus on-demand PDF/HTML passage extraction; keep coverage unknown/partial until official enumeration is established.,No official complete denominator or machine API verified; coverage may be selective.,https://www.judiciaryni.uk/judicial-decisions
SRC015,BAILII case-law database,British and Irish Legal Information Institute,United Kingdom | Ireland | European/international collections,persuasive-authority | contextual-material,SC09 | SC10 | SC12 | SC35 | SC36,Valuable free secondary publication; not the official publisher for most records and coverage is uneven.,"Multi-jurisdiction database of judgments, tribunal decisions and legislation supplied from varied sources.",documented but inaccessible,unavailable,2026-07-25,Use only as a secondary discovery/legacy-coverage lane with explicit publisher status and source reconciliation.,Not official for most cases; missing/corrected records and duplicate identities are possible; tested access failed.,https://www.bailii.org/bailii/
SRC016,UK Supreme Court and Judicial Committee websites,UK Supreme Court / Judicial Committee of the Privy Council,United Kingdom | Commonwealth/overseas jurisdictions for JCPC,binding-authority | history,SC09 | SC11 | SC12,Court-published judgments and orders; press summaries are explanatory and not part of the judgment.,"Judgments, case details, hearing information, press summaries and related documents on the courts’ own websites.",partially complete,verified working | documented but not tested,2026-07-25,"Use for reconciliation, case metadata and related materials; canonical judgment passage should prefer FCL where available.",Potential duplicates with FCL; press summaries must never be treated as authoritative holdings.,https://www.supremecourt.uk/decided-cases/index.html
SRC017,The National Archives Discovery legal records,The National Archives,United Kingdom | England and Wales,history,SC35 | SC09 | SC24,"Archival catalogue/records; evidential role depends on the record, not catalogue metadata.","Paper and digitised historical legal, court, parliamentary and government records transferred to TNA.",discovery-only,verified working,2026-07-25,Discovery-only federation with explicit “archival/non-current” role and no automatic passage claims.,Catalogue presence does not mean digital text; legal status and current authority require separate research.,https://discovery.nationalarchives.gov.uk/
SRC018,Civil Procedure Rules and practice directions,Ministry of Justice / Civil Procedure Rule Committee,England and Wales,procedural-material,SC15 | SC16,"Procedural rules and directions governing civil proceedings; precise force depends on rule, practice direction and enabling legislation.","Current CPR parts, practice directions, pre-action protocols, forms links and update instruments published on GOV.UK/Justice.",partially complete,verified working | verified working,2026-07-25,Harvest structured HTML into a procedure pack; verify currency against latest amending SI and update notice at answer time.,Online consolidation can lag a newly made amendment; historical versions are not consistently exposed as structured data.,https://www.justice.gov.uk/courts/procedure-rules/civil
SRC019,Criminal Procedure Rules and practice directions,Ministry of Justice / Criminal Procedure Rule Committee / Judiciary,England and Wales,procedural-material,SC15 | SC16,Procedural rules and judicial directions for criminal proceedings.,"Current criminal procedure rules, practice directions and amendments.",partially complete,verified working,2026-07-25,Metadata catalogue plus version-addressed documents; link every deadline/procedure proposition to rule or direction passage.,Historical version reconstruction is non-trivial; directions may appear on judiciary and GOV.UK surfaces.,https://www.gov.uk/guidance/rules-and-practice-directions-2020
SRC020,Family Procedure Rules and practice directions,Ministry of Justice / Family Procedure Rule Committee,England and Wales,procedural-material,SC15 | SC16,Procedural rules and directions governing family proceedings.,"Current FPR parts, practice directions, forms and update material.",partially complete,verified working,2026-07-25,Procedure-family adapter sharing the civil-rule parser but retaining distinct jurisdiction/force.,Some forms/guidance live on separate HMCTS pages; historical versions are not uniform.,https://www.justice.gov.uk/courts/procedure-rules/family
SRC021,Tribunal Procedure Rules and practice directions,Ministry of Justice / Tribunal Procedure Committee / Judiciary,United Kingdom | England and Wales,procedural-material,SC15 | SC16,Procedural rules for tribunal chambers; applicability is chamber- and jurisdiction-specific.,Rules and practice directions for First-tier and Upper Tribunal chambers and related bodies.,partially complete,verified working,2026-07-25,Model each chamber separately and link to tribunal competence/reference data.,"Rules, forms and chamber guidance can be split across multiple sites; UK-wide applicability varies.",https://www.gov.uk/government/collections/tribunal-procedure-rules
SRC022,Judiciary practice directions and guidance,Judiciary of England and Wales,England and Wales,procedural-material | official-guidance,SC16 | SC22,Judicial directions/guidance; force must be classified per document and relationship to procedural rules.,"Practice directions, guidance, protocols and judicial office publications.",partially complete,verified working,2026-07-25,Discovery and on-demand hydration with mandatory force/supersession review before use.,Search/category taxonomy is not a legal-force taxonomy; duplicate/superseded PDFs can persist.,https://www.judiciary.uk/guidance-and-resources/practice-directions/
SRC023,HMCTS forms,HM Courts & Tribunals Service,England and Wales | United Kingdom for some tribunals,procedural-material | legal-service-information,SC17,Official procedural forms and service information; form revision and required use depend on relevant rule/Practice Direction.,Court and tribunal forms published through GOV.UK and linked collections.,partially complete,verified working,2026-07-25,Metadata harvest; download on demand; warn whenever cached form revision differs from live source.,Collection does not by itself prove mandatory/current use in a particular proceeding.,https://www.gov.uk/government/collections/court-and-tribunal-forms
SRC024,HMCTS court and tribunal fees,HM Courts & Tribunals Service / Ministry of Justice,England and Wales | United Kingdom for some tribunals,procedural-material | legal-service-information,SC17,Official fee information; legal obligation ultimately rests on fee orders and exemptions/remission rules.,"Current fee tables, guidance and help-with-fees information.",progressively resolved,verified working,2026-07-25,"Local metadata for discovery, mandatory live verification and legislation link before presenting a payable amount.",Guidance can simplify exceptions and is not a substitute for the operative fee order in disputed cases.,https://www.gov.uk/court-fees-what-they-are
SRC025,Court and Tribunal Hearings Service (CaTH) data,HM Courts & Tribunals Service,England | Scotland | Wales,legal-service-information,SC31,Operational listing data; not a legal authority and highly time-sensitive.,Raw hearing/listing data published via CaTH to approved third-party licensees.,access-restricted,verified working | authenticated or restricted,2026-07-25,"Do not include in early static bundle. Add a separately authorised, non-cache-by-default live provider lane only after DPIA/licence/security review.",Not public bulk data; high volatility; inclusion could expose personal/sensitive information if mishandled.,https://www.gov.uk/government/publications/hmcts-third-party-courts-and-tribunals-data-licence
SRC026,Find a Court or Tribunal service,HM Courts & Tribunals Service,England and Wales | some UK-wide tribunal services,legal-service-information,SC14 | SC17,Official service-location and contact information; not legal authority.,"Public directory of courts/tribunals, addresses, facilities, opening times and service information.",discovery-only,verified working,2026-07-25,Provider datapack/live-link model with an explicit operational-currentness warning.,No complete historical record or public API verified; names may differ from legal institutional identities.,https://www.find-court-tribunal.service.gov.uk/
SRC027,Sentencing Council guidelines,Sentencing Council for England and Wales,England and Wales,procedural-material | official-guidance,SC18,"Definitive guidelines engage statutory sentencing duties; legal application depends on offence, date and exceptions.","Definitive guidelines, overarching guidance, consultations and archived/superseded versions where published.",partially complete,verified working,2026-07-25,"Harvest metadata and structured headings, retain versioned content, and make effective-date selection mandatory.",Current page may not apply to historical conduct; offence/category mappings need expert review.,https://www.sentencingcouncil.org.uk/guidelines/
SRC028,Crown Prosecution Service legal guidance,Crown Prosecution Service,England and Wales,official-guidance,SC19,"Official prosecution policy/guidance; not legislation and does not bind courts, though it guides CPS decision-making.","CPS legal guidance topics, charging standards and prosecution policy materials.",partially complete,verified working,2026-07-25,Metadata and versioned snapshot where licence permits; label as official guidance and link controlling authorities separately.,Guidance is not controlling authority; archived versions and local policies may be absent.,https://www.cps.gov.uk/legal-guidance
SRC029,COPFS Prosecution Code and guidance,Crown Office and Procurator Fiscal Service,Scotland,official-guidance,SC19,Official Scottish prosecution code/policy; not a substitute for legislation or judicial authority.,"Prosecution Code, disclosure code and subject guidance published by COPFS.",partially complete,verified working | verified working,2026-07-25,Scottish prosecution source-family adapter with source/date snapshots and explicit non-binding label.,Guidance does not establish court outcome; historic policies may need archive research.,https://www.copfs.gov.uk/publications/prosecution-code/
SRC030,Public Prosecution Service NI Code for Prosecutors,Public Prosecution Service for Northern Ireland,Northern Ireland,official-guidance,SC19,Official prosecution policy for Northern Ireland; not binding judicial authority.,"Code for Prosecutors, prosecution process and policy publications.",partially complete,verified working | verified working,2026-07-25,Northern Ireland guidance pack with versioned documents and controlling-authority links.,Policy is not law; historic editions may not remain linked.,https://www.ppsni.gov.uk/code-prosecutors
SRC031,FCA Handbook,Financial Conduct Authority,United Kingdom,delegated-administrative-rules | official-guidance,SC20 | SC22,"Mix of binding rules, evidential provisions, guidance and sourcebooks; each provision’s type and legal basis must be preserved.","FCA Handbook modules, instruments, guidance and related materials.",documented but inaccessible,unavailable | verified working,2026-07-25,Start metadata-only with live links and source-status monitoring; add licensed/terms-compliant snapshot after explicit permission review.,Direct access failed in this test; rules and guidance can be visually adjacent; online consolidation may require instrument verification.,https://handbook.fca.org.uk/
SRC032,FCA enforcement and notices,Financial Conduct Authority,United Kingdom,delegated-administrative-rules | history,SC21,Final notices and decisions have formal legal/regulatory effect for the named matter; press releases are contextual.,"Final notices, decision notices where publishable, warning notices statements, enforcement actions and outcomes.",partially complete,verified working,2026-07-25,Metadata-first ingestion with on-demand notice PDFs and explicit decision/press-release distinction.,Search categories may omit older or migrated notices; press summaries cannot replace the formal notice.,https://www.fca.org.uk/publications/search-results?category=notices
SRC033,PRA Rulebook,Prudential Regulation Authority / Bank of England,United Kingdom,delegated-administrative-rules | official-guidance,SC20,PRA rules are binding on relevant firms; the online Rulebook is a consolidation and legal instruments remain definitive for amendment history.,"PRA Rulebook parts, policy material and legal instruments.",partially complete,verified working | verified working,2026-07-25,Rulebook adapter with explicit provision type and instrument-backed temporal graph.,Online consolidation is convenient but legal instruments are definitive; guidance and rules must not be flattened.,https://www.prarulebook.co.uk/
SRC034,"Ofcom rules, codes and regulatory statements",Ofcom,United Kingdom,delegated-administrative-rules | official-guidance,SC20 | SC22,"Mixture of statutory codes, conditions, decisions and guidance; force depends on statutory basis and document type.","Broadcasting/communications/online-safety codes, general conditions, statements, consultations and guidance.",partially complete,verified working,2026-07-25,Regime-specific packs sharing a regulator core model; preserve consultation-to-final lineage.,"Search/topic pages mix consultation, statement, rule and guidance; legal-force classification is essential.",https://www.ofcom.org.uk/tv-radio-and-on-demand/broadcast-standards/broadcast-code
SRC035,Ofcom enforcement decisions,Ofcom,United Kingdom,delegated-administrative-rules | history,SC21,Formal decisions/notices may impose or record regulatory consequences; news summaries are contextual.,"Enforcement cases, sanctions, breach findings and related notices across Ofcom regimes.",partially complete,verified working,2026-07-25,Model enforcement lifecycle and hydrate final formal documents before answer synthesis.,Open/closed status and appeal outcomes can be on separate pages.,https://www.ofcom.org.uk/about-ofcom/bulletins/enforcement-bulletin
SRC036,"ICO statutory guidance, codes and regulatory guidance",Information Commissioner’s Office,United Kingdom,official-guidance | delegated-administrative-rules,SC22 | SC20,Includes statutory codes/guidance and non-statutory regulatory explanation; force must be stated per publication.,"Data protection, freedom of information, PECR and AI guidance/codes.",partially complete,verified working,2026-07-25,Guidance pack with explicit statutory-basis field and live-source drift checks.,Guidance may not reflect pending law/cases immediately; statutory and non-statutory force differs.,https://ico.org.uk/for-organisations/
SRC037,ICO decision notices and enforcement action,Information Commissioner’s Office,United Kingdom,delegated-administrative-rules | persuasive-authority,SC21 | SC23,Decision notices and enforcement instruments have defined statutory effects and appeal routes; case summaries are secondary.,"FOI/EIR decision notices, enforcement notices, monetary penalties and undertakings.",partially complete,verified working | verified working,2026-07-25,Ingest notice metadata and final documents; reconcile appeals with tribunal/case-law packs.,Appeal status and later case law may not be linked; search metadata varies across years.,https://ico.org.uk/action-weve-taken/decision-notices/
SRC038,Competition and Markets Authority cases and decisions,Competition and Markets Authority,United Kingdom,delegated-administrative-rules | history | official-guidance,SC21 | SC22,Formal decisions/orders/undertakings have legal effects; consultations and press releases are contextual.,"Merger, antitrust, consumer, market-study and subsidy cases, decisions and guidance.",partially complete,verified working,2026-07-25,Case-lifecycle adapter with typed document roles and appeal links.,"Case pages mix binding decisions, evidence, consultation and press material.",https://www.gov.uk/cma-cases
SRC039,Environment Agency enforcement and sanctions publications,Environment Agency,England,delegated-administrative-rules | history,SC21,Formal sanctions/notices have statutory effects; published summaries may be selective.,"Enforcement undertakings, sanctions and prosecutions published by the Environment Agency.",partially complete,verified working,2026-07-25,Treat each published register as a bounded dataset with its own denominator and retention policy.,Coverage is regime-specific and may not include every enforcement action.,https://www.gov.uk/government/publications/environment-agency-enforcement-undertakings-accepted
SRC040,Local Government and Social Care Ombudsman decisions,Local Government and Social Care Ombudsman,England,persuasive-authority,SC23,"Findings/recommendations under the ombudsman scheme; not court precedent, though public bodies usually comply.",Published decision statements and investigation reports relating to local government and social care.,partially complete,verified working | verified working,2026-07-25,Metadata harvest with retention-aware coverage ledger; never derive a complete complaint history.,Not all decisions published; time-limited retention means historical absence is not evidence of no decision.,https://www.lgo.org.uk/decisions
SRC041,Parliamentary and Health Service Ombudsman case decisions,Parliamentary and Health Service Ombudsman,United Kingdom for parliamentary complaints | England for health service complaints,persuasive-authority,SC23,Ombudsman findings/recommendations; not judicial precedent.,"Published case decisions, case summaries and reports.",partially complete,verified working,2026-07-25,Metadata-first pack with explicit “published investigated cases” boundary and period split.,"Pre-April-2021 public material is selected, not complete; not all cases are investigated/published.",https://www.ombudsman.org.uk/decisions
SRC042,Scottish Public Services Ombudsman decisions and reviews,Scottish Public Services Ombudsman,Scotland,persuasive-authority,SC23,Ombudsman decisions/recommendations and Scottish Welfare Fund reviews; not judicial precedent.,"Decision reports, summaries and Scottish Welfare Fund review decisions.",partially complete,verified working | verified working,2026-07-25,Separate ombudsman decision and welfare-fund review subtypes; preserve scheme/legal basis.,Publication does not equal all complaints; separate schemes have different force and review routes.,https://www.spso.org.uk/our-findings
SRC043,Northern Ireland Public Services Ombudsman findings,Northern Ireland Public Services Ombudsman,Northern Ireland,persuasive-authority,SC23,Ombudsman findings/recommendations under Northern Ireland legislation; not court precedent.,"Investigation reports, public interest reports and own-initiative materials.",partially complete,verified working,2026-07-25,"Metadata harvest, on-demand PDF extraction and explicit publication-boundary statement.",Not every complaint results in a published report; search structure may change.,https://nipso.org.uk/nipso/publications
SRC044,UK Parliament Bills service,UK Parliament,United Kingdom,history,SC03 | SC24 | SC25,Official legislative-process material; Bill text is proposed law until enacted.,"Public and private Bills, versions, stages, amendments, explanatory notes and related documents.",complete against official enumerated source,verified working,2026-07-25,Harvest metadata and version links; keep stage/version lineage and link enacted legislation by evidence.,"A Bill title/version does not prove enacted text; amendments may be proposed, withdrawn or disagreed.",https://bills.parliament.uk/
SRC045,Hansard official report,UK Parliament,United Kingdom,history,SC24,"Official report of parliamentary proceedings; relevant to history and, in limited legal contexts, interpretation, but not legislation.","Commons, Lords and Westminster Hall debates and written statements on the current Hansard service.",partially complete,verified working,2026-07-25,Metadata and passage-level speech index with source gaps exposed; no automatic “legislative intent” conclusion.,Current site documents missing 2004–2006 content; Hansard is not a statement of enacted law.,https://hansard.parliament.uk/
SRC046,"UK Parliament committees, evidence and reports",UK Parliament,United Kingdom,history,SC24,Official scrutiny/evidence/reports; recommendations and witness evidence are not binding law.,"Select committee inquiries, oral/written evidence, reports, government responses and publications.",partially complete,verified working,2026-07-25,"Ingest inquiry/document graph and retain role labels for report, evidence and response.",Evidence can be unverified/opinion; committee recommendations are not law.,https://committees.parliament.uk/
SRC047,UK Parliament Statutory Instrument tracker,UK Parliament,United Kingdom,history | procedural-material,SC24 | SC02,Official parliamentary scrutiny information; does not replace the made instrument or parliamentary procedure law.,"SI scrutiny status, deadlines and links to instrument/explanatory material.",partially complete,verified working,2026-07-25,Federate to legislation work IDs and store tracker observations as temporal procedural events.,Coverage scope and historical retention require explicit ledgering; legal effect depends on instrument and procedure.,https://statutoryinstruments.parliament.uk/
SRC048,Scottish Parliament Bills and Official Report,Scottish Parliament,Scotland,history,SC03 | SC24 | SC25,Official devolved legislative-process material; Bills are proposed law and Official Report is history.,"Bills, amendments, stages, committee material, Official Report and explanatory/financial memoranda.",partially complete,verified working | verified working,2026-07-25,Devolved parliamentary adapter sharing core Bill/Stage/Document model but retaining native identifiers.,No single cross-UK Bill identity; enacted link must be evidenced.,https://www.parliament.scot/bills-and-laws/bills
SRC049,Senedd Cymru legislation and Record of Proceedings,Senedd Cymru / Welsh Parliament,Wales,history,SC03 | SC24 | SC25,Official Welsh legislative-process material; Bills are proposed law and proceedings are history.,"Bills, amendments, explanatory memoranda, committee scrutiny and Record of Proceedings.",partially complete,verified working | verified working,2026-07-25,Bilingual-first adapter with language-tagged expressions and enacted-work reconciliation.,English and Welsh versions must not be conflated; explanatory material is non-operative.,https://senedd.wales/senedd-business/legislation/
SRC050,Northern Ireland Assembly Bills and Official Report,Northern Ireland Assembly,Northern Ireland,history,SC03 | SC24 | SC25,Official devolved legislative-process material; Bills are proposed law and proceedings are history.,"Bills, stages, committee scrutiny, Official Report and related documents.",partially complete,verified working | verified working,2026-07-25,Native adapter with explicit Assembly-term/status and enacted-work reconciliation.,Institutional suspension periods and legacy site migrations affect continuity.,https://www.niassembly.gov.uk/assembly-business/legislation/
SRC051,Law Commission publications and projects,Law Commission of England and Wales,England and Wales,history,SC26,Official independent law-reform analysis and recommendations; not law until implemented.,"Projects, consultations, reports, draft Bills, government responses and implementation information.",partially complete,verified working,2026-07-25,"Project graph linking consultations, reports, government responses and enacted implementation.","Recommendations may be partial, rejected or superseded; implementation status needs legislation links.",https://lawcom.gov.uk/our-work/
SRC052,Scottish Law Commission publications,Scottish Law Commission,Scotland,history,SC26,Official Scottish law-reform analysis and recommendations; not law until implemented.,"Discussion papers, reports, draft Bills, consultations and project information.",partially complete,verified working,2026-07-25,Scottish law-reform pack aligned to common project/publication model.,Search count is not necessarily a stable denominator; implementation may occur through Scottish or UK legislation.,https://www.scotlawcom.gov.uk/publications/
SRC053,Public inquiry reports and recommendation tracking,Cabinet Office / sponsoring departments / inquiry chairs,United Kingdom | devolved jurisdictions where applicable,history,SC27,"Official inquiry findings/recommendations; legal force depends on implementing action, not report publication alone.","Statutory/non-statutory inquiry websites, reports, evidence, rulings and government recommendation tracking.",partially complete,verified working | verified working,2026-07-25,Central discovery register plus per-inquiry adapters; never infer implementation from “accepted” without downstream evidence.,"No complete central catalogue; inquiry evidence may be restricted, redacted or removed.",https://www.gov.uk/government/publications/public-inquiries-recommendations-dashboard
SRC054,"Official accident investigation reports (AAIB, RAIB, MAIB)",Department for Transport investigation branches,United Kingdom,history,SC27,Official safety investigation findings/recommendations; not determinations of civil or criminal liability.,"Published aviation, rail and marine accident reports, bulletins and recommendations.",partially complete,verified working | verified working | verified working,2026-07-25,Typed investigation pack with explicit non-liability role and recommendation-response graph.,Reports explicitly do not apportion blame/legal liability; branch archives differ.,https://www.gov.uk/aaib-reports
SRC055,UK Treaties Online and treaty dataset,"Foreign, Commonwealth & Development Office",United Kingdom | International,binding-authority | history,SC08,Official UK treaty records; legal effect depends on signature/ratification/entry into force and domestic implementation.,"UK bilateral/multilateral treaty records, command papers and treaty series, around 15,000 records according to publisher.",partially complete,verified working | verified working,2026-07-25,"Ingest official CSV metadata, hydrate documents on demand, and link domestic implementing legislation separately.",Domestic legal effect is not inferable from treaty status alone; UKTO advises checking depositary for current status.,https://treaties.fcdo.gov.uk/
SRC056,EUR-Lex,Publications Office of the European Union,European Union | United Kingdom relevance,binding-authority | history,SC32 | SC06 | SC08,Official EU legal database; relevance/force in UK law depends on domestic status and temporal context.,"EU legislation, treaties, case law, preparatory acts, Official Journal and consolidated texts.",partially complete,verified working | authenticated or restricted | verified working,2026-07-25,Federated metadata plus CELLAR-backed bulk lane; never mirror all multilingual content into browser startup.,"Consolidated text is usually documentary convenience, not a new legal act; UK relevance requires domestic mapping.",https://eur-lex.europa.eu/
SRC057,CELLAR repository and APIs,Publications Office of the European Union,European Union | United Kingdom relevance,history | binding-authority,SC32,Official repository/dissemination infrastructure for EU publications and metadata.,Content and metadata underpinning EUR-Lex and other EU portals.,unknown or not yet researched,verified working | documented but not tested,2026-07-25,"Server-side bulk/graph ingestion for selected UK-relevant sectors, publishing compact indexes to OKF.",Complex CDM model; service endpoints and caps can change; UK use requires relevance filtering.,https://op.europa.eu/en/web/about-us/legal-notices/accessibility
SRC058,HUDOC European Court of Human Rights database,European Court of Human Rights / Council of Europe,Council of Europe | United Kingdom relevance,binding-authority | persuasive-authority,SC33,ECtHR judgments bind respondent states under the Convention framework; domestic interpretive effect requires UK-law context.,"Judgments, decisions, communicated cases, legal summaries and related materials in HUDOC.",partially complete,verified working | verified working,2026-07-25,"Metadata harvest under terms, live paragraph verification, and explicit UK relevance/Convention status.",Translations/legal summaries are not always authoritative; historical omissions and document-status distinctions matter.,https://hudoc.echr.coe.int/
